Date,Title,Artist
07/05/1989,Boney M Megamix,Boney M
14/05/1989,Boney M Megamix,Boney M
21/05/1989,Boney M Megamix,Boney M
28/05/1989,Boney M Megamix,Boney M
04/06/1989,"Johnny, Johnny Come Home",Avalanche
11/06/1989,"Johnny, Johnny Come Home",Avalanche
18/06/1989,"Johnny, Johnny Come Home",Avalanche
25/06/1989,"Johnny, Johnny Come Home",Avalanche
02/07/1989,"Johnny, Johnny Come Home",Avalanche
09/07/1989,"Johnny, Johnny Come Home",Avalanche
16/07/1989,"Johnny, Johnny Come Home",Avalanche
23/07/1989,"Johnny, Johnny Come Home",Avalanche
30/07/1989,Lambada,Kaoma
06/08/1989,Lambada,Kaoma
13/08/1989,Lambada,Kaoma
20/08/1989,Lambada,Kaoma
27/08/1989,Lambada,Kaoma
03/09/1989,Lambada,Kaoma
10/09/1989,Lambada,Kaoma
17/09/1989,Lambada,Kaoma
24/09/1989,Lambada,Kaoma
01/10/1989,Lambada,Kaoma
08/10/1989,Lambada,Kaoma
15/10/1989,Lambada,Kaoma
22/10/1989,Cœur de loup,Philippe Lafontaine
29/10/1989,Cœur de loup,Philippe Lafontaine
05/11/1989,Swing The Mood,Jive Bunny and the Mastermixers
12/11/1989,Swing The Mood,Jive Bunny and the Mastermixers
19/11/1989,Swing The Mood,Jive Bunny and the Mastermixers
26/11/1989,Swing The Mood,Jive Bunny and the Mastermixers
03/12/1989,Swing The Mood,Jive Bunny and the Mastermixers
10/12/1989,Hélène,Roch Voisine
17/12/1989,Hélène,Roch Voisine
24/12/1989,Hélène,Roch Voisine
31/12/1989,Hélène,Roch Voisine
07/01/1990,Hélène,Roch Voisine
14/01/1990,Hélène,Roch Voisine
21/01/1990,Hélène,Roch Voisine
28/01/1990,Les Valses de Vienne,François Feldman
04/02/1990,Les Valses de Vienne,François Feldman
11/02/1990,Les Valses de Vienne,François Feldman
18/02/1990,Les Valses de Vienne,François Feldman
25/02/1990,Hélène,Roch Voisine
04/03/1990,Hélène,Roch Voisine
11/03/1990,Les Valses de Vienne,François Feldman
18/03/1990,Les Valses de Vienne,François Feldman
25/03/1990,Le Temps des yéyés,Les Vagabonds
01/04/1990,Le Temps des yéyés,Les Vagabonds
08/04/1990,Le Temps des yéyés,Les Vagabonds
15/04/1990,Le Temps des yéyés,Les Vagabonds
22/04/1990,Le Temps des yéyés,Les Vagabonds
29/04/1990,Le Temps des yéyés,Les Vagabonds
06/05/1990,Le Temps des yéyés,Les Vagabonds
13/05/1990,Words,The Christians
20/05/1990,Words,The Christians
27/05/1990,Sacrifice,Elton John
03/06/1990,Sacrifice,Elton John
10/06/1990,Sacrifice,Elton John
17/06/1990,Bo le lavabo,Lagaf'
24/06/1990,Maldòn (la musique dans la peau),Zouk Machine
01/07/1990,Maldòn (la musique dans la peau),Zouk Machine
08/07/1990,Maldòn (la musique dans la peau),Zouk Machine
15/07/1990,Maldòn (la musique dans la peau),Zouk Machine
22/07/1990,Maldòn (la musique dans la peau),Zouk Machine
29/07/1990,Maldòn (la musique dans la peau),Zouk Machine
05/08/1990,Maldòn (la musique dans la peau),Zouk Machine
12/08/1990,Soca Dance,Charles D. Lewis
19/08/1990,Soca Dance,Charles D. Lewis
26/08/1990,Soca Dance,Charles D. Lewis
